CODE,Country,Date,Confirmed Cases,Daily Confirmed,Deaths,Daily Deaths,Recovered,Daily Recovered,Region,Income Level,GDP,Population
ARG,Argentina,2020-06-16,34159,1374,878,24,10174,283,Latin America & Caribbean,Upper middle income,515352999999.999,44780677
EGY,Egypt,2020-02-15,1,0,0,0,0,0,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-03-15,110,1,2,0,21,0,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-06-07,34079,1467,1237,39,8961,423,Middle East & North Africa,Lower middle income,331360000000,100388073
SLV,El Salvador,2020-04-01,32,0,1,0,0,0,Latin America & Caribbean,Lower middle income,28202000000,6453553
SLV,El Salvador,2020-04-04,56,10,3,1,2,2,Latin America & Caribbean,Lower middle income,28202000000,6453553
SLV,El Salvador,2020-04-27,323,25,8,0,89,6,Latin America & Caribbean,Lower middle income,28202000000,6453553
SWZ,Eswatini,2020-04-11,12,0,0,0,7,0,Sub-Saharan Africa,Lower middle income,4711000000,1148130
SWZ,Eswatini,2020-05-10,172,9,2,0,27,13,Sub-Saharan Africa,Lower middle income,4711000000,1148130
SWZ,Eswatini,2020-03-16,1,0,0,0,0,0,Sub-Saharan Africa,Lower middle income,4711000000,1148130
AUS,Australia,2020-02-28,23,0,0,0,11,0,East Asia & Pacific,High income,1481460000000,25203198
AUS,Australia,2020-05-19,7072,4,100,1,6431,18,East Asia & Pacific,High income,1481460000000,25203198
AUS,Australia,2020-06-20,7461,50,102,0,6896,15,East Asia & Pacific,High income,1481460000000,25203198
MMR,Burma,2020-05-14,181,0,6,0,84,5,East Asia & Pacific,Lower middle income,71403000000,54045420
EGY,Egypt,2020-05-09,8964,488,514,11,2002,57,Middle East & North Africa,Lower middle income,331360000000,100388073
MWI,Malawi,2020-04-12,13,1,2,0,0,0,Sub-Saharan Africa,Low income,7861000000,18628747
MWI,Malawi,2020-05-11,57,1,3,0,24,10,Sub-Saharan Africa,Low income,7861000000,18628747
MDV,Maldives,2020-03-21,13,0,0,0,0,0,South Asia,Upper middle income,6213000000,530953
AUT,Austria,2020-03-24,5283,809,28,7,9,0,Europe,High income,481678000000,8955102
HND,Honduras,2020-04-19,472,15,46,0,15,5,Latin America & Caribbean,Lower middle income,25560000000,9746117
BGR,Bulgaria,2020-06-19,3755,81,193,3,2008,67,Europe,Upper middle income,71746000000,7000119
BGR,Bulgaria,2020-03-15,51,10,2,0,0,0,Europe,Upper middle income,71746000000,7000119
BGR,Bulgaria,2020-04-22,1024,49,49,4,174,4,Europe,Upper middle income,71746000000,7000119
BGR,Bulgaria,2020-06-13,3266,75,172,0,1723,7,Europe,Upper middle income,71746000000,7000119
CAF,Central African Republic,2020-03-31,3,0,0,0,0,0,Sub-Saharan Africa,Low income,2485000000,4745185
CAF,Central African Republic,2020-05-02,72,0,0,0,10,0,Sub-Saharan Africa,Low income,2485000000,4745185
CAF,Central African Republic,2020-05-11,143,0,0,0,10,0,Sub-Saharan Africa,Low income,2485000000,4745185
CUB,Cuba,2020-04-05,320,32,8,2,15,0,Latin America & Caribbean,Upper middle income,89688700000,11333483
NER,Niger,2020-04-25,684,3,27,3,325,36,Sub-Saharan Africa,Low income,10628000000,23310715
NER,Niger,2020-05-18,909,5,55,1,714,16,Sub-Saharan Africa,Low income,10628000000,23310715
BGD,Bangladesh,2020-03-11,3,0,0,0,0,0,South Asia,Lower middle income,343279000000,163046161
BGD,Bangladesh,2020-04-15,1231,219,50,4,49,7,South Asia,Lower middle income,343279000000,163046161
